utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
0 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
7 %, 0 %, 0 MiB
